Cover Runtime (minutes),Total Lines of Code,Coverable Lines of Code,Existing Test Count,Existing Line Coverage,Diffblue Test Count,Diffblue Line Coverage,Combined Test Count,Combined Line Coverage
4.65,807,415,0,0.00%,66,65.78%,66,65.78%Project URL,Branch Name,Cover Version,Cover Runtime (minutes),Total Lines of Code,Coverable Lines of Code,Existing Test Count,Existing Line Coverage,Diffblue Test Count,Diffblue Line Coverage,Combined Test Count,Combined Line Coverage
https://github.com/diffblue/CoreBanking,jlb/pov-testing,2025.09.01-44e352d-licensed,4.71,807,415,0,0.00%,66,65.78%,66,65.78%Project URL,Branch Name,Cover Version,Cover Runtime (minutes),Total Lines of Code,Coverable Lines of Code,Existing Test Count,Existing Line Coverage,Diffblue Test Count,Diffblue Line Coverage,Combined Test Count,Combined Line Coverage
[diffblue/CoreBanking](https://github.com/diffblue/CoreBanking),[jlb/pov-testing](https://github.com/diffblue/CoreBanking/tree/jlb/pov-testing),2025.09.01-44e352d-licensed,4.83,807,415,0,0.00%,66,65.78%,66,65.78%Project URL,Branch Name,Cover Version,Cover Runtime (minutes),Total Lines of Code,Coverable Lines of Code,Existing Test Count,Existing Line Coverage,Diffblue Test Count,Diffblue Line Coverage,Combined Test Count,Combined Line Coverage
[diffblue/CoreBanking](https://github.com/diffblue/CoreBanking),[jlb/pov-testing](https://github.com/diffblue/CoreBanking/commits/jlb/pov-testing),2025.09.01-44e352d-licensed,4.85,807,415,0,0.00%,66,65.78%,66,65.78%
